Accession,Sample1,Sample2,Sample3,Sample4
NP_001008938.1,8.266412608,11.0775,8.29111483,
NP_000217.2,7.784488629,11.41265,7.033078494,
NP_001092755.1,8.996580292,11.7478,9.319058726,
NP_001005.1,8.283167258,12.08295,8.224082281,
NP_001072992.1,8.754228663,12.4181,8.428641387,
NP_001098707.1,8.30452833,12.75325,8.317151874,
NP_001091974.1,9.022660812,8.334946337,8.337005789,
NP_000134.2,8.646692465,7.357613478,8.50520416,
NP_001011.1,7.325402852,7.747701761,7.482559163,
NP_000933.1,8.917837009,8.574179244,9.128863813,
NP_001106963.1,8.559793777,7.415155423,8.483558071,
NP_001036041.1,8.062001135,8.266412608,8.563588435,
NP_001006.1,8.304284333,7.784488629,8.32433625,
NP_001008.1,8.096382275,8.996580292,7.78684161,
NP_001015509.1,3.429748663,8.283167258,3.195053233,
NP_000998.1,8.348369869,8.754228663,8.375043211,
NP_000982.2,8.115901666,8.30452833,7.77217498,
NP_000963.1,9.002047622,9.022660812,8.777570072,
NP_001072989.1,8.533729642,8.646692465,8.780185726,
NP_000010.1,8.376009326,7.325402852,11.7,
NP_001058.2,8.673852286,8.917837009,8.725606062,
NP_000173.2,8.957111036,8.559793777,9.021756723,
NP_000867.2,8.403750497,8.062001135,8.592945218,
NP_001001.2,8.665604208,8.304284333,9.038399833,
NP_000960.2,8.711174212,8.096382275,8.333356255,
NP_001002.1,8.726998997,3.429748663,8.795812266,
NP_000968.2,8.873447421,8.348369869,9.285273256,
NP_000179.2,8.702767158,8.115901666,8.763797223,
NP_001017980.1,0,9.002047622,0,
NP_000958.1,9.381802233,10.1,9.279580783,
NP_000959.2,9.357431751,12.2,9.423246229,
NP_000997.1,9.800280749,8.7,9.847329845,
NP_000996.2,10.00649933,6.6,10.48989809,
NP_000909.2,10.84263788,5.9,10.91247889,
NP_001014433.1,3.153771685,7.3,3.147356491,
NP_000282.1,11.22032826,4.5,11.15547905,
NP_000025.1,7.3,8,6.1,
NP_001092.1,12.24123308,5.2,12.12981353,
