Accession,LOG2 foldchange of130N Sample,Adjusted P Value130N Sample
NP_001485.2,-0.055005896,0.017435539
NP_001272972.1,0.062765623,0.044892054
NP_000265.1,-0.096351347,0.0508605
NP_057164.3,0.132540258,0.190786759
NP_001018146.1,0.086736404,0.042837435
NP_001406.1,0.223159374,0.108028217
NP_001132929.1,0.133670271,0.066938605
XP_005269798.1,0.276003259,0.124547303
NP_005886.2,0.23645013,0.065190939
XP_011527203.1,0.107035877,0.110482812
NP_036525.1,0.304557034,0.110443353
NP_036226.2,0.427686973,0.189727489
NP_056988.3,-0.133600655,0.035919361
NP_004598.1,-0.391567674,0.622972449
NP_055118.1,0.261644515,0.121472283
NP_004346.1,-0.390745873,0.708850505
NP_000911.2,0.611018235,0.650327822
NP_055866.1,0.714715804,0.221599185
NP_004588.1,-0.198675583,0.068249614
NP_001131024.1,0.00413123,0.001317091
NP_000010.1,0.285774902,0.104549403
NP_005727.1,-0.16749337,0.047185355
NP_005558.1,-0.275733562,0.11406725
XP_024305442.1,0.488694197,1.265913363
NP_001002.1,-0.08123767,0.084743791
XP_011528279.1,0.019730593,0.013702644
NP_006169.2,0.31399292,0.15120211
NP_055428.1,0.294223255,0.246699529
NP_005889.3,-0.238260088,0.133092549
NP_001188306.1,0.366961721,1.357639306
NP_003959.3,0.222186424,0.295328267
XP_024306399.1,-0.007884179,0.016976219
NP_001238978.1,0.230639512,0.235094548
NP_001244120.1,-0.070450773,0.086264166
NP_057269.1,-1.010163555,0.475436884
NP_001035879.1,0.013096847,0.008761037
XP_005246454.1,0.387384426,0.103967312
NP_003091.2,-0.130241396,0.247987837
NP_002781.2,0.231426523,0.381985108
NP_001007566.1,-0.048491337,0.024659451
XP_011512974.1,0.286588861,0.3642332
NP_054908.2,0.136064691,0.049181783
NP_001356309.1,-0.225449595,0.088876
NP_000929.1,0.408289574,0.159516544
NP_000169.1,-0.071121264,0.025609853
NP_733779.1,-0.052142192,0.023186552
XP_005258027.1,0.240044335,0.087525693
NP_001058.2,0.071006438,0.014728705
NP_003678.2,0.74134176,0.237245959
NP_071334.1,0.069981318,0.038547309
NP_002727.2,-0.264164553,0.112135726
XP_016875545.1,0.050385715,0.017616806
NP_001291672.1,0.090162772,0.034752481
NP_065116.3,0.396784577,0.115676781
NP_001121699.1,0.601026382,0.466196732
NP_001104490.1,-0.010293011,0.013964986
NP_004629.3,-0.246446574,0.414012299
NP_001341664.1,0.593693822,0.238948313
NP_001028721.1,-0.105443613,0.04857443
XP_016868076.1,0.131570425,0.064320729
NP_005142.1,0.194204786,0.086219818
NP_001013269.1,0.109351552,0.074186785
NP_004883.3,0.172516294,0.060615624
NP_002070.1,-0.016782953,0.011762047
NP_060555.2,0.240557119,0.08156019
NP_006550.1,-0.211609365,0.105061581
XP_024307243.1,-0.241754713,0.092095848
NP_005521.1,0.351901545,0.572587981
NP_006136.1,-0.036209014,0.012094921
NP_004472.1,0.178858694,0.099610361
NP_001346122.1,-0.612418619,0.282658929
NP_000662.3,-0.049995314,0.01087815
NP_001307847.1,-0.354151771,0.277381723
NP_036333.2,-0.036467485,0.020265515
NP_006796.1,-0.286712928,0.260274612
NP_001144.1,0.295542393,0.071855009
NP_710154.1,0.671011157,0.227992942
XP_006718422.1,-0.143171333,0.134124203
NP_036590.1,0.054906542,0.013407916
NP_003356.2,0.235643588,0.059010873
NP_060530.3,0.693987511,0.227272357
NP_001306064.1,-0.166561738,0.06497923
NP_001254507.1,-0.111846782,0.037638399
NP_002884.1,-0.218846966,0.147443496
NP_005601.1,-0.206293331,0.111165687
NP_055629.1,-0.000461249,0.000291505
NP_055317.1,-0.093327182,0.053915886
NP_001186284.1,-0.00093058,0.000836639
NP_002284.3,-0.020780822,0.010119108
NP_003409.1,-0.600123159,0.285765508
NP_006382.1,0.109945535,0.030306673
NP_066299.2,-0.11951983,0.09921019
NP_002815.3,-0.403304042,0.143116064
NP_006793.1,-0.234843788,0.137389837
NP_001281269.1,-0.656543027,0.391211021
NP_079472.1,-0.017252891,0.01375316
NP_001129675.1,-0.530360968,0.308179745
NP_004729.1,0.226960629,0.0694289
NP_001258522.1,0.553963127,0.566599969
NP_000399.3,0.242404045,0.17609811
NP_001128247.1,0.322255308,0.439436108
NP_055412.2,-0.141635467,0.052481922
NP_114414.2,-0.139447184,0.047022664
NP_001960.2,0.130362216,0.030726964
NP_005713.1,0.115890508,0.057431149
NP_006175.2,-0.245328235,0.139894238
NP_002717.3,0.368053835,0.149213793
NP_110437.2,0.232713963,0.055075151
NP_001824.1,0.054641433,0.074777719
NP_001012.1,-0.165274791,0.086281639
NP_003090.2,0.060210359,0.012165797
NP_001243239.1,-0.174367892,0.044480715
XP_016870809.1,0.395017561,0.182031693
NP_689953.1,0.382845221,0.177241301
NP_001317629.1,0.128488344,0.061681996
NP_001006.1,-0.119791579,0.067809568
NP_055984.1,-0.392361474,0.143694199
NP_000966.2,-0.047584102,0.014731971
NP_057191.2,0.514513574,0.563011272
XP_005246698.1,1.082693422,1.940253488
XP_005271527.1,0.660431846,0.275770835
NP_001120676.1,-0.081870663,0.01704561
XP_005264337.1,0.23483956,0.170093999
NP_003121.1,0.191905992,0.063881497
XP_005247870.2,0.002637051,0.004719148
NP_001231513.1,-0.160266193,0.632545434
NP_001783.2,-0.353763159,0.182542105
NP_057225.2,0.064299006,0.351961297
NP_067038.1,-0.009121924,0.003205068
NP_001107563.1,0.165053708,0.208380734
NP_002783.1,-0.013254709,0.014686972
NP_001263218.1,0.242430966,0.110980034
NP_005309.1,-0.085415996,0.093936238
XP_016856104.1,0.014423682,0.00310928
NP_001309363.1,-0.382191291,0.154248679
XP_024308587.1,0.360021747,1.109874678
NP_004049.3,0.835874737,0.384402829
NP_057396.1,-0.270025818,0.808829842
NP_078880.2,-0.175453611,0.059309672
NP_001005360.1,0.232008068,0.230238606
NP_001027553.1,-0.347968597,0.12243732
NP_066932.1,-0.140788754,0.060899454
NP_001269373.1,-0.055804781,0.031058193
NP_001186913.1,-0.130146723,0.152386056
NP_057068.1,0.114767192,0.037212013
NP_001032752.1,-0.11261001,0.038183813
NP_004392.1,-0.239269624,0.165108557
NP_001527.3,-0.081854393,0.023905188
NP_001180500.1,0.114212187,0.04311923
NP_001229820.1,0.150027001,0.091852896
NP_001405.1,-0.183205467,0.06230039
NP_001310548.1,-0.150438175,0.068934367
NP_001193943.1,-0.017320472,0.011331438
NP_001351228.1,0.305284405,0.358479907
NP_001308498.1,0.538214219,0.886693663
NP_065750.1,-0.067954778,0.022166549
XP_024304079.1,-0.333767257,0.310207466
NP_004209.2,-0.034989115,0.033063994
XP_016880484.1,-0.244318474,0.091078465
NP_004584.1,-0.162911119,0.204093678
NP_001075.1,-0.068045132,0.044964955
NP_065801.1,0.340473372,0.128532203
NP_219482.1,0.012597712,0.006052632
XP_005246247.1,0.081918831,0.027084813
NP_001350626.1,0.023592046,0.010801313
NP_001186731.1,-0.161369235,0.356143845
NP_006387.1,-0.02543793,0.006360522
NP_001230175.1,0.089553765,0.047530928
NP_057175.1,0.169072655,0.055629693
NP_001182484.1,-0.170301922,0.051778327
NP_055181.3,0.243319002,0.094460358
XP_011512129.1,-0.513365409,0.19760662
NP_055362.1,0.058328731,0.012393792
NP_002201.2,0.17827782,0.153743745
NP_061819.2,0.014918857,0.004899783
NP_001304106.1,-0.06833238,0.032806775
XP_016875215.1,-0.005064449,0.003768524
NP_112233.2,0.330979353,0.160790185
NP_006494.1,0.1559241,0.248304266
NP_009096.2,-0.55777148,0.299558597
NP_006392.1,-0.124604687,0.059826619
NP_006787.2,0.144026025,0.057177375
XP_005269704.1,-0.113995642,0.063414384
XP_016882575.1,-0.376176258,0.422805548
NP_006076.4,0.295128388,0.18854335
NP_112483.1,0.130497379,0.064550408
NP_001427.2,-0.075072955,0.38427345
NP_006448.5,0.227884125,0.055519194
XP_005266355.1,0.03734968,0.020356958
XP_011527602.1,0.05560258,0.078561451
NP_060760.2,0.241865061,0.053047278
NP_001141.2,-0.441578159,0.166814916
NP_055271.2,-0.316707109,0.269387345
NP_008982.1,0.092986553,0.106435001
NP_689419.3,0.024812038,0.018413168
NP_000843.1,0.093235185,0.093759687
NP_005678.3,0.366159149,0.280683761
NP_057308.1,0.308358776,0.074677553
NP_789839.1,-0.299103574,0.219286401
NP_149073.1,-0.261674568,0.656063351
NP_005106.2,0.969074323,0.351735501
NP_003968.3,0.13476393,0.066444389
NP_000174.1,0.259806984,0.218719195
XP_024305248.1,-0.332692723,0.097694212
NP_001284.1,0.025087019,0.010076344
NP_689971.4,-0.249596073,0.10634093
NP_002895.3,-0.152949873,0.039714841
NP_004083.3,0.15430914,0.639626979
NP_060102.1,-0.031123941,0.051703141
NP_001352054.1,-0.128497798,0.028157929
XP_011522362.1,0.237806119,0.081111912
NP_996925.1,-0.164615497,0.751929168
NP_006100.2,0.373537449,0.359459038
XP_011534403.1,0.274845746,0.069570868
NP_055842.2,0.357323324,0.22246145
NP_001166216.1,0.419291256,0.10503275
NP_006347.1,-0.482603615,1.628804844
NP_055439.1,0.680896272,1.23768756
NP_005849.1,-0.048607131,0.014722571
NP_004044.3,-0.300030255,0.108467485
NP_001137325.1,-0.115467339,0.065499429
NP_001308032.1,0.478680449,0.472092031
NP_073572.2,0.396101689,0.097466892
NP_056450.2,0.451452355,0.13434858
NP_001227.1,0.216867043,0.069684544
NP_113673.3,-0.018949668,0.006628321
XP_005268645.1,-0.43091884,0.114453381
XP_024303687.1,0.167884923,0.045499722
NP_006651.2,-0.307873672,0.228756041
NP_006704.3,-0.274063801,0.253055863
NP_006353.2,-0.133732395,0.044217625
NP_057662.3,0.087196189,0.234211202
NP_005902.1,0.088315584,0.088689233
NP_057122.2,0.109032028,0.055651938
NP_005782.1,-0.441287809,0.758443304
NP_001307256.1,-0.540273404,0.187715555
NP_001087240.1,-0.175696266,0.133455187
XP_016866764.1,0.158207438,0.103496711
NP_001309906.1,0.168928236,0.268642127
NP_001001520.1,-0.19450032,0.058598619
NP_001186797.1,-0.100212819,0.405423733
NP_006861.1,0.192215173,0.107342093
NP_057141.1,-0.117878728,0.036905235
NP_001010942.1,0.226419123,1.298584123
NP_001310245.1,0.519594197,0.172885985
NP_002085.3,0.268283736,1.527101184
NP_006139.1,-0.317441714,0.665882856
NP_001265568.1,-0.24189343,0.305971506
NP_002098.1,-0.113974446,0.09481457
NP_112576.1,0.423236725,0.230023361
NP_056073.1,-0.00560055,0.00161089
NP_055278.1,-0.2035262,0.200308259
NP_005917.2,-0.321820854,0.056729074
NP_001019381.1,0.717602576,0.411237428
NP_001229971.1,0.117984927,0.038745215
NP_036473.2,-0.052583721,0.014254258
NP_005796.1,0.142463819,0.119439841
NP_000652.2,-0.248372622,0.073721468
NP_478126.1,-0.113944096,0.043976878
NP_053733.2,-0.549686112,0.252714127
NP_003124.1,-0.397477299,0.280219666
NP_061485.1,-0.008957639,0.015778999
NP_001070956.1,-0.26043015,0.180469685
NP_064522.4,-0.194465489,0.053954849
NP_071415.1,0.342893637,0.120170198
NP_001171903.1,-0.347885147,0.078574579
NP_006612.2,0.310867702,0.118750021
XP_006711558.1,0.167308266,0.104179499
NP_002807.1,0.198630696,0.085267481
NP_002856.1,0.09758132,0.065732137
NP_001124384.1,0.113094626,0.046784157
NP_001243068.1,0.490906968,0.132328913
NP_002826.3,0.390020048,0.144590135
NP_000971.1,0.10813287,0.021388323
NP_006132.1,0.224203387,0.059744489
NP_000979.1,-0.148047484,0.358506623
NP_001020419.1,-0.45422096,0.19089873
NP_039234.1,0.445353966,0.145912254
NP_001305051.1,0.158980706,0.066206737
NP_000703.2,0.209574921,0.052641151
NP_003895.1,-0.009884282,0.004893923
NP_001135757.1,-0.387441708,0.312958138
XP_005253223.1,-0.193461444,0.109998489
NP_000628.2,0.297383102,0.128732841
XP_024309269.1,0.412377238,0.099963749
NP_003740.2,0.328845314,0.106700762
NP_008860.4,0.305848645,0.099022527
NP_001026854.1,-0.156254492,0.055650031
NP_001357589.1,0.249774536,0.129366528
NP_001034180.1,0.086552967,0.017499614
NP_009121.1,0.609677569,0.299715254
XP_016880861.1,0.104530202,0.037444449
NP_006784.1,0.220117503,0.168346358
NP_001008.1,-0.083724075,0.132196157
NP_003123.2,0.114933882,0.020358614
NP_001276325.1,0.302851503,0.359766429
NP_001096137.1,0.247115013,0.083886507
XP_006715869.1,-0.017076916,0.007797843
NP_000192.2,0.880154049,0.182528544
XP_005268422.1,-0.206402879,0.047369378
NP_001189342.1,0.513506365,0.405765219
NP_001273429.1,-0.035288621,0.018683466
NP_001357331.1,0.312355566,0.132998519
NP_001120683.1,-0.144993322,0.096851091
NP_001686.1,0.057002208,0.011871008
NP_570850.2,0.33180608,0.107234242
XP_024309466.1,-0.458674342,0.458252536
NP_078772.1,0.080849149,0.017874741
NP_005505.2,-0.131810731,0.041326154
NP_002475.2,-0.079313249,0.021859794
NP_000974.1,-0.176566399,0.08296147
NP_003095.2,-0.205362766,0.063465668
NP_055567.2,-0.064364943,0.020044822
NP_001070675.1,0.756535732,0.399767224
NP_036457.1,-0.175396314,0.08022059
NP_002615.2,-0.097919537,0.056754303
NP_002907.1,-0.310312215,0.10534988
NP_000961.2,-0.463026843,0.512309489
NP_001243439.1,0.097285017,0.027479066
NP_066952.1,-0.165445172,0.116162701
NP_001123579.1,0.160716746,0.044694633
NP_006852.1,0.061518186,0.014715817
NP_000986.2,-0.083860175,0.1318613
NP_005717.3,0.095413056,0.042710477
NP_002347.5,-0.37206153,0.175196041
NP_005650.2,0.219957915,0.377625348
NP_002784.1,0.080496402,0.04848598
NP_004587.1,-0.761492724,0.714088225
NP_001036143.1,0.309843321,0.473632177
NP_001185767.1,-0.102026858,0.040489391
NP_003482.1,-0.181829838,0.14222089
NP_006364.2,0.879385568,0.424795726
NP_057001.1,0.170397234,0.051950308
NP_001303260.1,0.136012153,0.04169485
NP_009039.1,0.272017995,0.117831912
NP_001290553.1,0.154824354,0.045349289
NP_003748.1,-0.176155126,0.3674179
XP_024309320.1,0.13551027,0.132317567
NP_000185.1,0.252299138,0.302585785
NP_065090.1,-0.606542566,0.308855001
NP_001656.2,0.190532828,0.043039476
NP_001123525.3,-0.241766214,0.061844753
NP_001137357.1,-0.004295564,0.001545716
XP_016882391.1,-0.277300573,0.074980562
NP_000276.2,0.141497125,0.041368386
NP_065080.1,0.082353143,0.068209984
NP_003891.1,0.91813733,0.328130104
NP_000970.1,-0.109859283,0.027140478
NP_001269673.1,0.528307058,0.199755798
NP_001015.1,-0.143337805,0.16670825
XP_006711821.1,0.09264046,0.030240087
NP_000972.1,-0.125267545,0.06818243
NP_001309722.1,0.359308311,0.171523824
XP_016883513.1,0.02572606,0.012305705
NP_001207417.1,0.444464191,0.129315481
NP_004068.2,0.245369926,0.845139828
NP_004634.1,-0.354422194,0.378979501
XP_011524051.1,-0.147372533,0.064395886
NP_004716.1,0.108348262,0.030834251
NP_001269210.1,0.341560441,0.122899285
XP_011540672.1,0.379240697,0.135587554
NP_067642.1,-0.113625156,0.037682943
XP_011531375.1,0.018094377,0.003148623
NP_115717.3,0.115558708,0.035424656
NP_057123.1,-0.050148726,0.03266931
NP_005096.1,-0.35739219,0.109293101
NP_005044.1,0.076121315,0.062045779
NP_066972.1,-0.081732244,0.083871348
NP_001342338.1,-0.307986676,0.334388116
NP_001355738.1,0.551807733,0.155693932
NP_000984.1,-0.258366467,0.449074015
NP_001129667.1,-0.122543685,0.040585585
NP_006730.2,-0.302197219,0.10847196
NP_004689.1,-0.221954934,0.074499224
NP_115687.2,-0.223075532,0.101812294
XP_016858797.1,-0.176904834,0.071261276
XP_011524858.1,0.457507659,0.191259567
NP_001007539.1,-0.316213593,0.190166068
NP_055144.3,-0.035882375,0.016218429
NP_031397.1,-0.166066585,0.056042436
NP_001139019.1,-0.171170036,0.077856476
NP_001293135.1,-0.057986608,0.014055111
NP_001257368.1,-0.124319632,0.037093833
NP_005434.4,0.232967978,0.139729187
NP_002613.2,-0.011025152,0.004393037
NP_004025.1,0.376968263,0.117276387
XP_016865174.1,0.572726778,1.340398445
NP_002619.1,0.243541747,0.117063168
NP_001353524.1,-0.261220994,0.110142261
NP_001311230.1,0.055427352,0.017957775
NP_006288.2,0.022624733,0.003659962
NP_006006.3,0.065787081,0.018639185
NP_788955.1,-0.008343742,0.006424647
NP_001317598.1,0.432693275,0.283239786
NP_775882.2,0.063792663,0.038990527
NP_037470.1,0.399165463,0.130557777
NP_001684.2,0.153171849,0.387525596
NP_001186846.1,0.520274367,0.265356003
NP_001245286.1,0.270441074,0.223035048
NP_001311048.1,0.324000375,0.06415317
NP_005361.2,-0.083655901,0.045795116
NP_000261.2,-0.003436088,0.00076525
NP_055070.1,0.065195863,0.092349348
NP_056444.3,-0.197081419,0.666334583
NP_001243615.1,-0.345621312,0.283680816
NP_002860.2,0.038373205,0.007189615
XP_005261192.1,0.616250465,0.207025843
NP_001307156.1,-0.063277256,0.018790125
NP_001003701.1,-0.419293398,0.208290876
NP_001307540.1,0.102836573,0.175392705
NP_005711.1,0.33759928,0.140345192
NP_060014.3,0.180501943,0.11384097
XP_011511125.1,0.139293445,0.023031432
XP_024302614.1,0.176774464,0.842924013
NP_001679.2,-0.076280054,0.100266598
NP_877725.1,0.049440918,0.015075514
NP_068733.1,0.002551011,0.000686319
NP_066272.1,-0.4050772,0.141770315
NP_001353453.1,0.479836705,0.14793815
NP_001311.3,-0.167132181,0.035336218
NP_001337537.1,-0.185663711,0.212071093
NP_065916.2,0.470491695,0.179609164
NP_005330.1,-0.082903317,0.041265112
NP_000242.1,0.05355514,0.014937538
NP_006283.1,0.014535722,0.006344473
NP_001306167.1,0.135946766,0.03594739
NP_004621.2,-0.220110666,0.854858068
NP_113680.1,-0.101632513,0.073249996
NP_005508.1,-0.662612183,0.309860847
NP_000980.1,-0.126601579,0.070935604
NP_001172110.1,-0.209287366,0.162744693
NP_004541.1,0.048052642,0.008858531
NP_001129507.1,-0.170209509,0.040718977
NP_005561.1,0.408779641,0.197167978
NP_064601.3,0.412181372,0.555932219
NP_620061.2,0.618474312,0.206628665
NP_076997.1,-0.283367064,0.42883148
NP_005990.1,-0.214689717,0.067865909
NP_001022.1,-0.318788736,0.141670472
NP_002078.1,0.151784939,0.204577639
NP_004730.2,-0.165453894,0.104275314
NP_059142.3,0.00910472,0.003644884
NP_005852.2,0.187433508,0.291331768
NP_001240308.1,0.094329365,0.099141788
NP_004292.1,-0.375670952,0.483621498
NP_002818.1,0.510877244,0.21822728
NP_001139197.1,-0.29747335,0.071616282
NP_001076.2,0.904366664,0.419372243
XP_016859148.1,-0.090306431,0.019252209
NP_001017928.1,-0.132176484,0.043898473
NP_005848.2,0.086519817,0.058149369
NP_001976.1,0.299368949,0.107592957
NP_001019907.1,0.185239514,0.05634949
NP_001231178.1,-0.017387426,0.040688083
XP_011536075.1,-0.320332467,0.206277666
NP_004299.1,0.28328156,0.09631254
NP_001303249.1,-0.064808978,0.014788671
NP_005038.1,0.052841387,0.016358576
NP_004926.1,-0.14226477,0.055139887
NP_001274069.1,-0.152066858,0.040489259
NP_056280.2,0.236453741,0.041383703
NP_001156752.1,-0.657877337,0.226384872
NP_064587.1,-0.004845953,0.002679744
NP_005617.2,-0.819906958,0.143771455
NP_057213.2,0.294986819,0.119704959
NP_001010.2,-0.24746554,0.265345648
NP_001257905.1,0.030639778,0.031267802
NP_065741.3,0.1863627,0.056240482
XP_005266191.1,0.403504026,0.161853608
NP_001357294.1,0.35898385,0.111122209
XP_011538682.1,0.469647394,0.264341752
NP_000981.1,-0.076157045,0.043701601
NP_003841.1,0.207688838,0.092926864
NP_001854.1,-0.192512175,0.065076201
NP_001670.1,0.413579613,0.643192095
NP_002477.1,0.244683455,0.120135647
NP_005863.1,-0.201999418,0.05435993
NP_001120968.1,-0.043759877,0.014032926
NP_001289966.1,0.144161744,0.0309368
NP_001191455.1,0.540308469,0.209789441
NP_060517.1,-0.189918431,0.061990719
NP_001825.1,-0.303233919,0.111626679
NP_006215.1,0.399050545,0.136641468
XP_005256612.1,0.527063743,0.234960284
NP_037368.1,0.608364427,0.13582778
NP_001013858.1,-0.212026687,0.06356099
NP_064709.2,-0.278909469,0.112429804
NP_006266.2,-0.225592058,0.15639309
NP_036557.1,-0.060773524,0.019747363
NP_659731.1,0.218245042,0.06742163
NP_001921.1,0.218416627,0.072478404
XP_024303906.1,0.14199495,0.096005552
NP_001356988.1,0.137349059,0.031920321
NP_060289.2,-0.088385723,0.025205985
NP_056271.3,-0.298441334,0.082361933
XP_016879224.1,0.22295218,0.063451207
XP_011514672.1,-0.208217976,0.177886936
NP_005660.4,0.491286265,0.338548993
NP_005871.1,0.033724574,0.013859001
NP_005040.2,-0.037948199,0.013034698
NP_006829.1,-0.273567032,0.06472334
NP_001078868.1,-0.672848975,0.370024712
NP_612410.1,0.015971935,0.004635908
NP_150093.1,0.359395607,0.126442027
NP_057736.4,-0.070979179,0.034021595
NP_003286.1,0.236785135,0.124570854
NP_078934.3,0.170518579,0.353680993
NP_004542.1,-0.300920471,0.128561187
NP_055095.2,-0.323977196,0.171737202
NP_001166599.1,-0.656111763,0.153825193
NP_055121.1,0.325442128,0.114099392
NP_077310.1,-0.482484249,0.585331645
NP_002015.1,-0.359271204,0.132974138
NP_001269429.1,0.037192486,0.018598871
NP_001899.1,1.001918493,0.435392406
NP_002573.1,0.134330589,0.064922115
XP_011530170.1,0.037595555,0.02235116
NP_003818.2,0.152413662,0.295399712
NP_001358960.1,0.22657432,0.094964844
NP_057038.2,0.103515371,0.019428648
NP_543010.3,-0.342531057,0.096291547
NP_001243692.1,0.013722943,0.006299669
NP_071505.2,-0.30054504,0.113897012
NP_037460.2,0.471288593,0.161486468
NP_057146.1,-0.155621027,0.068819577
NP_055398.1,0.085082337,0.02524011
NP_001185797.1,0.612121891,0.217228663
NP_665807.1,-0.096771768,0.036981258
NP_000364.1,0.266758664,0.288848677
NP_004246.2,-0.238238907,0.137073631
NP_001229236.1,0.399457906,0.242460995
NP_061903.2,0.310279139,0.081709492
NP_076950.1,-0.056583997,0.016071879
NP_006818.3,0.29443487,0.097785081
NP_001688.1,-0.090483693,0.046366783
NP_057215.3,0.08908546,0.077780249
NP_005393.2,-0.438539397,0.131491988
NP_808881.3,0.279880776,0.94195859
XP_016862214.1,0.297026829,0.141024826
XP_024308119.1,0.491107254,0.093050652
XP_016864078.1,0.009211963,0.002375156
NP_116185.2,0.033721701,0.029364118
NP_001002251.2,-0.173489777,0.066553138
NP_061820.1,-0.373476325,0.203110171
NP_001122092.1,0.22513277,0.062647645
NP_015561.1,-0.296290023,0.09485275
NP_055484.3,-0.125704723,0.158845274
NP_057366.2,0.142075501,0.033469273
NP_001317692.1,0.097051775,0.030676036
NP_006074.2,-0.083474889,0.019285199
NP_036313.3,0.19803609,0.091139869
XP_011514713.1,-1.866777621,0.354485413
NP_612482.2,0.119154647,0.03989189
NP_003008.1,-0.216313057,0.069092516
NP_001139411.1,-0.193085085,0.11826465
NP_004441.1,-0.325489787,0.357392187
XP_024307582.1,-0.169268304,0.110572046
NP_056473.3,0.232740751,0.50350324
NP_064581.2,0.013037422,0.003518194
XP_005262724.1,0.581791068,0.478553254
NP_006294.2,0.318855993,0.118809115
NP_002215.2,0.96008108,0.183067729
NP_060598.3,0.100169075,0.042620044
NP_001310991.1,0.170703541,0.059008941
NP_647473.1,-0.171187044,0.057817887
NP_001138769.1,0.010376681,0.003137413
NP_006127.1,0.175601298,0.049676179
NP_001853.2,-0.184241001,0.144776079
NP_057086.2,0.157096831,0.048236793
XP_006715894.1,-0.078663228,0.016051664
XP_024307057.1,-0.280906803,0.126065946
NP_001743.1,0.063385747,0.018742805
NP_001025178.1,0.286297497,0.123258471
NP_001229326.1,-0.04925912,0.008298176
NP_937859.1,-0.078889482,0.023602536
NP_001137457.1,-1.040419053,0.714443246
NP_001719.2,-0.077800813,0.023983442
NP_066018.1,0.098579986,0.023951838
NP_001619.1,0.480363457,0.336578107
NP_002516.2,0.159534164,0.059155313
XP_005259352.1,0.508372295,0.112080031
NP_001128342.1,0.013520007,0.004231957
XP_011519219.1,-0.155729184,0.05218891
NP_000978.1,0.484947763,0.173817461
NP_001304909.1,-0.164073271,0.101112125
XP_005270768.1,0.221685552,0.075616531
NP_001316681.1,0.07969733,0.038080323
XP_024306618.1,0.100510942,0.027442904
NP_001129498.1,0.231799977,0.07602993
NP_789782.1,0.154049787,0.087357244
NP_006808.1,-0.205777021,0.153541739
NP_001300870.1,-0.237138456,0.087111558
NP_001136071.1,0.279953446,0.060044467
NP_001291479.1,-0.043326343,0.013765046
NP_001359000.1,-0.166944243,0.042357041
NP_003468.2,0.171355314,0.114187751
NP_056175.3,0.112667143,0.05373945
NP_061961.2,-0.087122051,0.032380551
NP_005773.3,-0.185162771,0.057097352
NP_001243093.1,0.341290702,0.067968702
NP_001139332.1,0.374297896,0.119050732
NP_005198.1,-0.205657109,0.054402481
NP_056456.1,0.207671701,0.097693066
NP_001353173.1,0.514766651,0.292037488
NP_057441.1,-0.464269871,0.482401714
NP_060941.2,-0.245960549,0.608215336
NP_062535.2,-0.031102637,0.010896413
NP_061955.1,0.093852057,0.23768601
NP_060557.3,0.016133807,0.003967057
NP_054781.1,0.101421768,0.068132678
NP_001231855.1,-0.049369408,0.015728536
NP_055077.2,-0.113656761,0.026205032
NP_001352.2,-0.462373135,0.142103224
XP_016866762.1,-0.056300963,0.031185646
XP_005253650.1,0.078316176,0.025368645
NP_000476.1,0.214121622,0.069220162
NP_001337261.1,0.135725914,0.055636962
NP_001357121.1,0.12812409,0.038669471
NP_001041659.1,-0.150946987,0.104470373
NP_003680.2,0.238295509,0.163182004
NP_057283.1,-0.052575227,0.010406877
NP_001346123.1,-0.843439181,0.21856069
NP_055680.3,-0.133391969,0.025934063
NP_037379.1,0.330714354,0.100787824
NP_658985.2,0.097722714,0.0243048
NP_060308.1,0.066516255,0.025899813
NP_001317201.1,0.049773392,0.018302978
NP_005861.2,-0.186304361,0.227312616
NP_066552.2,-0.161172523,0.032684812
NP_059980.2,0.293181135,0.157884169
NP_004690.1,-0.108005281,0.048540445
NP_057439.2,-0.242221868,0.078006141
NP_001310552.1,0.381381321,0.176778918
NP_002408.3,0.24037762,0.083628787
NP_006799.1,-0.093313244,0.021499778
XP_005264506.2,0.636528029,0.668836285
NP_803173.1,0.130627828,0.037498793
NP_004851.2,0.136254418,0.057745185
NP_001238968.1,-0.143403189,0.032622316
NP_001269460.1,-0.110835561,0.020350354
NP_009103.2,-0.044160405,0.016630426
NP_055955.1,0.123233776,0.045214156
NP_077305.2,-0.024421015,0.006585677
NP_002861.1,0.329329984,0.133919612
NP_001193409.1,0.351482411,0.160437675
NP_056274.3,0.552161613,0.255943844
NP_005266.2,0.189506696,0.048032667
NP_055953.3,-0.215030749,0.089343232
NP_079422.1,-0.298436125,0.126436963
NP_005981.3,0.028564146,0.011106049
NP_005165.1,-0.069708164,0.020704416
NP_958839.1,-0.110021752,0.042376802
NP_613258.2,-0.371096024,0.093832001
XP_005245785.1,0.104384141,0.026282918
NP_003565.4,0.464079166,0.531315994
NP_001123917.1,0.327327919,0.084787863
NP_000294.1,0.378833632,0.193117829
XP_011527888.1,-0.167747057,0.048201083
NP_001172023.1,0.33987497,0.230381156
NP_061984.2,-0.802421742,1.706888631
NP_065393.1,0.26595204,0.091219288
NP_058431.2,-0.218514528,0.043042913
NP_001091679.1,-0.050215524,0.01766594
NP_064615.3,-0.520257166,0.765829957
NP_002476.2,0.323769186,0.290203754
NP_001307575.1,-0.115805487,0.024622638
NP_000928.1,0.141912768,0.052846343
XP_005245570.1,-0.709426309,0.309848529
XP_011529087.1,-0.299140211,0.153595357
NP_004153.2,0.011445084,0.003419975
