Accession, 129C  Sample  BR1, 129C  Sample  BR1, 129C  Sample  BR1, 131  Sample  BR1, 131  Sample  BR1
NP_001317160.1,6.528231921,5.158016425,6.091742515,5.102931366,5.102931366
NP_001317175.1,6.009169227,5.64227867,6.087009777,5.695908482,5.695908482
NP_001317177.1,4.105704106,4.295857626,4.495712711,4.380737753,4.380737753
NP_001317178.1,8.305171395,8.184186293,8.344965543,7.991774046,7.991774046
NP_001317182.1,5.339456389,5.562409343,5.027325787,5.577870223,5.577870223
NP_001317255.1,3.099172368,2.759935419,2.402285847,3.318281621,3.318281621
NP_001317256.1,3.174113709,2.570535189,3.829967556,2.580220527,2.580220527
NP_001317259.1,6.880160071,7.120811323,6.711970346,6.908319502,6.908319502
NP_001317273.1,2.763471914,3.45823565,2.461992093,3.453906636,3.453906636
NP_001317289.1,4.443672212,3.513605891,4.340001568,3.469204871,3.469204871
NP_001317316.1,2.564469062,0.676729946,2.837501228,1.017782391,1.017782391
NP_001317371.1,3.998788902,5.93825797,4.263765983,5.667821503,5.667821503
NP_001317383.1,4.410752632,4.760566934,4.366280893,4.699426262,4.699426262
NP_001317398.1,5.084160225,3.501567688,4.258163276,3.69419158,3.69419158
NP_001317448.1,2.652977511,2.09844351,2.229818651,1.728147322,1.728147322
NP_001317514.1,4.078982961,5.55923689,4.631917095,5.70983899,5.70983899
NP_001317569.1,0.568021041,4.937978838,0.952978446,4.839924204,4.839924204
NP_001317575.1,1.260799446,-0.609508957,1.110519722,-0.616568137,-0.616568137
NP_001317582.1,1.449781929,0.122224736,0.05989365,0.076676079,0.076676079
NP_001317598.1,7.541955954,7.34489792,7.318627917,7.378460679,7.378460679
NP_001317599.1,4.00797111,-0.066494638,4.195053233,0.63324698,0.63324698
NP_001317627.1,4.738208805,6.639920939,4.481357418,6.395604692,6.395604692
NP_001317629.1,7.865230503,7.882579854,7.654484851,7.910850513,7.910850513
NP_001317643.1,0,1.187550984,0,1.425867129,1.425867129
NP_001317652.1,4.592933611,4.936582366,3.946025685,4.888305187,4.888305187
NP_001317692.1,6.519238864,6.809412079,6.28733769,6.736161582,6.736161582
NP_001317917.1,3.505180168,2.973820612,3.098028778,2.791724633,2.791724633
NP_001317968.1,3.257136851,4.200175523,2.500466241,3.98267859,3.98267859
NP_001318008.1,0.778879982,3.601531435,0,3.795100939,3.795100939
NP_001327.2,6.112611826,4.851109088,5.995690122,4.718755551,4.718755551
NP_001332810.1,0,2.062020102,0,2.355347116,2.355347116
NP_001332854.1,2.876643554,3.447686444,2.27490654,3.393712925,3.393712925
NP_001333154.1,3.678395239,4.288870139,3.340001568,3.889095316,3.889095316
NP_001333158.1,1.959211799,3.064067931,0.776100683,3.266196561,3.266196561
NP_001333181.1,2.676202693,3.924234774,2.422463729,3.769240619,3.769240619
NP_001333241.1,3.03816314,2.183789065,2.867248571,2.187707392,2.187707392
NP_001333342.1,4.100808077,3.654477139,3.556319476,3.628334065,3.628334065
NP_001333369.1,2.633898419,2.649712395,0,2.451768993,2.451768993
NP_001333445.1,2.728983538,4.990740342,1.924964069,4.825467562,4.825467562
NP_001333475.1,5.430236638,5.261803968,5.47895092,5.451448073,5.451448073
NP_001333493.1,1.780922014,3.108400037,2.110519723,3.384777033,3.384777033
NP_001333694.1,6.67331991,5.331890575,6.610090732,5.213548917,5.213548917
NP_001334641.1,2.761405016,4.908222771,3.020723052,4.633435604,4.633435604
NP_001334757.1,4.703372894,4.867617426,5.004082786,4.687666817,4.687666817
NP_001334819.1,4.521148858,4.526658669,4.841253363,4.259857178,4.259857178
NP_001335.1,4.623979054,3.60470026,4.560877758,3.438444438,3.438444438
NP_001335007.1,0.413387692,2.63187571,0,2.693829866,2.693829866
NP_001335078.1,0,2.991682005,0,2.634755286,2.634755286
NP_001335114.1,4.598443962,5.043068382,4.159429323,4.925751521,4.925751521
NP_001335116.1,6.388325577,6.457748959,6.265163266,6.513534942,6.513534942
NP_001335147.1,3.251257291,2.793647698,3.867248571,2.815859499,2.815859499
NP_001335191.1,2.548975286,0,2.980459182,0,0
NP_001335354.1,2.35564533,2.676729946,1.610090732,2.628712575,2.628712575
NP_001335456.1,3.637847147,2.961239684,2.867248571,3.071673472,3.071673472
NP_001335658.1,4.023577339,2.090428517,2.822394336,2.025851821,2.025851821
NP_001336023.1,5.689444156,4.780008021,5.672498905,4.410319988,4.410319988
NP_001336143.1,3.16632376,2.975453543,3.059893649,2.776774291,2.776774291
NP_001336206.1,1.053447869,0.416369674,1.980459182,0.683664887,0.683664887
NP_001336221.1,1.532101467,2.34405547,0.952978446,2.07667608,2.07667608
NP_001336371.1,2.238683094,2.534803235,2.159429323,2.215188128,2.215188128
NP_001336421.1,3.999227478,3.370359132,3.95989786,3.396827457,3.396827457
NP_001336584.1,0.605374456,1.581298942,0,1.803842534,1.803842534
NP_001336644.1,2.068572358,3.931263411,1.610090732,3.689845019,3.689845019
NP_001336774.1,2.369281491,4.537753533,2.296932847,4.569219531,4.569219531
NP_001336850.1,7.908308955,7.166767752,7.317954862,7.28249564,7.28249564
NP_001336862.1,1.709818304,2.221891439,1.059893649,2.49476221,2.49476221
NP_001336864.1,5.079812573,4.813412002,4.92849576,4.970336985,4.970336985
NP_001337141.1,0.973567091,3.154777243,0,3.908865019,3.908865019
NP_001337149.1,4.15966907,2.932384822,4.229818651,2.886565381,2.886565381
NP_001337177.1,2.007099128,0,2.896394917,0,0
NP_001337182.1,3.697979636,4.565303779,4.229818651,4.457107173,4.457107173
NP_001337404.1,11.42649637,10.19574249,11.55228336,10.19043427,10.19043427
NP_001337434.1,4.231608308,4.617655017,4.748393754,4.424123691,4.424123691
NP_001337459.1,3.416017948,0,3.627578159,0,0
NP_001337619.1,2.177992967,1.266146587,1.807127579,1.017782391,1.017782391
NP_001338.2,0.831055447,1.859976326,1.252538727,1.94061453,1.94061453
NP_001338193.1,2.521148858,1.890300863,2.361063184,1.878312317,1.878312317
NP_001338285.1,3.96685583,4.325609415,4.033898441,4.601202727,4.601202727
NP_001338307.1,5.069407977,5.178954727,4.711970346,5.041287976,5.041287976
NP_001338588.1,4.421591371,5.154416884,5.01408996,4.803674925,4.803674925
NP_001339.1,3.063548458,4.269256324,3.720144277,4.15890702,4.15890702
NP_001339017.1,0.397504651,4.282508362,1.296932847,4.029009646,4.029009646
NP_001339283.1,3.863695897,4.582370914,3.307821163,4.863594077,4.863594077
NP_001339425.1,8.013029101,7.445503497,7.795570547,7.364580214,7.364580214
NP_001339443.1,3.18108888,4.29955601,2.085428742,4.343404969,4.343404969
NP_001339615.1,2.649628894,0,2.776100683,0,0
NP_001339631.1,6.742995825,5.492947771,7.018239215,5.541545377,5.541545377
NP_001339848.1,3.228244945,4.526658669,2.110519723,4.667913584,4.667913584
NP_001339987.1,7.244151541,6.760330148,7.021550048,6.547963606,6.547963606
NP_001340.2,8.387571971,8.424760945,8.338343108,8.400738893,8.400738893
NP_001340027.1,4.15927666,4.553326619,3.687166955,4.418223983,4.418223983
NP_001340066.1,3.947442021,3.988989907,3.776100684,3.995649372,3.995649372
NP_001340179.1,6.74024359,6.406215119,6.568820259,6.273234704,6.273234704
NP_001340422.1,3.533313307,3.031995225,3.583455605,3.410099813,3.410099813
NP_001340435.1,4.226747597,4.698644723,4.457109872,4.607553559,4.607553559
NP_001340495.1,-0.335916236,0,0,0,0
NP_001340944.1,4.6557621,4.708169665,4.810959441,4.660158134,4.660158134
NP_001340979.1,5.933282166,6.197262987,6.366280893,6.167334116,6.167334116
NP_001341015.1,6.044126458,6.039625272,6.046954594,6.1036123,6.1036123
NP_001341276.1,2.296922891,-0.098203499,1.744391823,0.204055386,0.204055386
NP_001341301.1,2.127532915,0,2.059893649,0,0
NP_001341366.1,4.549274818,0.734445444,4.218323012,1.228235199,1.228235199
NP_001341487.1,1.709818304,0,1.252538727,0,0
NP_001341528.1,6.37875069,5.961994896,6.15189565,6.083526463,6.083526463
NP_001341605.1,6.194843135,5.397308941,5.963345161,5.349503222,5.349503222
NP_001341679.1,2.204098858,1.882199064,2.402285847,1.868089458,1.868089458
NP_001341706.1,0.926380406,2.680739291,0,3.210644203,3.210644203
NP_001341825.1,2.828096072,3.123698127,2.744391824,3.06329705,3.06329705
NP_001341838.1,6.034209524,6.31822879,5.833739309,6.223293708,6.223293708
NP_001341917.1,6.927244934,6.647708208,6.868168364,6.575516083,6.575516083
NP_001341968.1,1.959211799,1.374077953,1.537940946,1.680747403,1.680747403
NP_001344607.1,2.055136219,0,3.318627918,0,0
NP_001346.1,7.031746398,6.828247822,6.804246989,7.226391938,7.226391938
NP_001346945.1,7.400039449,7.508962396,7.045329022,7.545760558,7.545760558
NP_001347.3,5.754667071,5.748361453,5.907174756,5.543855216,5.543855216
NP_001348.2,9.390009301,9.189596814,9.579951025,9.108022071,9.108022071
NP_001349.2,8.742144504,8.660421599,8.999892557,8.581589772,8.581589772
NP_001350.1,7.140960395,7.251648141,7.108185893,7.199539905,7.199539905
NP_001352.2,5.313769746,4.756140515,5.540251107,4.845308314,4.845308314
NP_001354.1,7.573700806,6.827381552,7.458942642,6.779759737,6.779759737
NP_001366.1,4.672632684,4.834859497,4.578968214,5.017348823,5.017348823
NP_001367.2,10.32303446,10.33041922,10.33892379,10.31404785,10.31404785
NP_001370.1,7.526217169,7.404246327,7.529826127,7.347636214,7.347636214
NP_001372.1,1.646272487,0,1.837501228,0,0
NP_001374.3,3.994395795,2.830805926,4.760333367,2.181528817,2.181528817
NP_001375.2,2.249046264,2.260799966,2.711970346,2.201004214,2.201004214
NP_001379.1,4.151011299,5.252967119,4.366280893,5.372286089,5.372286089
NP_001385.1,4.450744261,4.763720366,4.486158404,4.727794024,4.727794024
NP_001393.1,11.3443435,11.18859259,11.64280846,11.08571656,11.08571656
NP_001395.1,9.167348592,9.046050096,9.206916818,9.096720051,9.096720051
NP_001403.1,7.209936566,7.218993739,6.988940658,7.098770694,7.098770694
NP_001405.1,5.903718896,5.997720922,5.787814104,5.917797663,5.917797663
NP_001406.1,7.891928527,7.073755617,8.053034228,7.207036752,7.207036752
NP_001407.1,8.651286733,8.836442175,8.993162772,8.757649529,8.757649529
NP_001410.2,6.034530491,6.803716896,5.709919606,6.669156117,6.669156117
NP_001419.1,11.58994534,11.52741693,11.55973954,11.52372751,11.52372751
NP_001420.2,3.585650935,4.532956231,3.565421683,4.458172443,4.458172443
NP_001427.2,6.266275961,6.89728102,6.16692386,6.929750465,6.929750465
NP_001435.1,7.864388176,6.936861769,8.215434732,6.818350484,6.818350484
NP_001439.2,1.558529592,0,1.776100684,0,0
NP_001444.2,0,-0.28888706,0,-0.107748491,-0.107748491
NP_001457.1,1.694733976,0,1.924964069,0,0
NP_001460.1,9.438648523,9.137430877,9.298810134,9.062255326,9.062255326
NP_001473.1,5.035599867,3.796113844,4.97705258,3.713947454,3.713947454
NP_001474.1,5.670844361,5.285692757,5.841253363,5.220094617,5.220094617
NP_001478.2,2.029601126,0.890300863,2.033898441,0.372625108,0.372625108
NP_001484.1,5.878671068,5.642706934,5.122903447,5.504900948,5.504900948
NP_001485.2,7.663841726,8.392924252,7.536205895,8.19032209,8.19032209
NP_001489.1,3.542369803,3.584155765,3.670391242,3.467089791,3.467089791
NP_001491.1,4.465102729,5.10019087,4.791697538,4.905276417,4.905276417
NP_001505.1,3.770168958,4.44631329,3.852451569,4.318281621,4.318281621
NP_001507.2,1.745808161,3.85673133,1.807127579,3.604670282,3.604670282
NP_001508.1,1.090142668,3.091934724,0,3.14389116,3.14389116
NP_001510.2,3.500850533,2.917738046,3.601266881,2.873209942,2.873209942
NP_001511.2,6.232820931,5.712582329,6.499279326,5.672051204,5.672051204
NP_001518.3,6.791975255,6.628939014,6.890974641,6.475584172,6.475584172
NP_001528.1,2.244614018,2.661256734,3.618860942,3.971978701,3.971978701
NP_001530.1,7.779007694,7.74257942,7.722689162,7.69838986,7.69838986
NP_001531.1,9.721942633,9.968505054,10.21904418,9.905896284,9.905896284
NP_001542.1,3.486532407,3.942160162,2.952978445,4.154707796,4.154707796
NP_001544.1,2.681677823,-0.130624976,2.340001569,-0.107748491,-0.107748491
NP_001545.2,6.473886407,7.723008631,6.621045189,7.563934838,7.563934838
NP_001553.1,0.973567091,2.387223329,1.007426229,2.147065408,2.147065408
NP_001559.1,6.159865235,6.345792484,6.093316651,6.467301439,6.467301439
NP_001560.2,2.171781138,2.672038251,2.229818651,2.370816086,2.370816086
NP_001596.2,9.56997829,9.123253199,9.482859443,9.19739647,9.19739647
NP_001598.1,3.759335152,3.524801202,3.442363286,3.845145453,3.845145453
NP_001600.1,5.37959314,5.837181411,5.469284586,6.072647561,6.072647561
NP_001605.1,1.090142668,1.753605022,0,1.961198862,1.961198862
NP_001609.2,9.47430053,9.035163006,9.580792901,9.07547044,9.07547044
NP_001610.2,5.349294749,5.321014331,5.507567297,5.108369861,5.108369861
NP_001614.3,4.086019502,0,3.528663132,0,0
NP_001616.1,8.633721884,7.805075844,8.489449839,8.082697844,8.082697844
NP_001618.2,3.184949452,1.840993223,2.229818651,1.765803173,1.765803173
NP_001619.1,7.124571068,7.662038574,6.78586846,7.571780821,7.571780821
NP_001627.2,6.091068759,6.312372359,6.318627918,6.344903155,6.344903155
NP_001632.2,6.953904653,6.62374198,6.677754631,6.588124656,6.588124656
NP_001633.1,5.288155944,4.040340556,4.752384614,4.209885489,4.209885489
NP_001646.2,7.735809325,7.614863828,7.605685553,7.64140599,7.64140599
NP_001649.1,7.589478924,6.712215122,7.662990079,6.681249266,6.681249266
NP_001651.1,6.663184565,5.619918888,8.976626189,5.813530693,5.813530693
NP_001653.1,5.698924912,5.589763657,5.781969282,5.600238036,5.600238036
NP_001654.1,1.887108253,1.488284857,2.085428742,1.814529213,1.814529213
NP_001658.2,5.501934161,4.297381639,5.280444724,4.208366862,4.208366862
NP_001659.1,4.776067461,4.03330237,4.833739309,3.801829939,3.801829939
NP_001668.1,2.251993548,2.460569478,1.807127579,2.673427778,2.673427778
NP_001670.1,6.35598781,6.520566532,6.325341262,6.37403683,6.37403683
NP_001675.3,3.076906841,-1.084528561,3.252538727,-1.077795269,-1.077795269
NP_001677.2,9.047045874,8.516891854,9.368232679,8.536586836,8.536586836
NP_001679.2,7.199430709,7.543200317,7.149627856,7.519874672,7.519874672
NP_001681.2,6.706599198,6.434637867,6.722180545,6.468359211,6.468359211
NP_001684.2,6.323171306,6.09738158,6.093316651,6.002967512,6.002967512
NP_001686.1,6.49090516,6.013503522,6.50165218,5.910266828,5.910266828
NP_001687.1,5.621132378,5.910358515,5.464427022,6.027718644,6.027718644
NP_001688.1,7.440607623,8.013685644,6.822394336,8.057896449,8.057896449
NP_001691.1,2.412070764,2.84814119,2.519325268,2.752665673,2.752665673
NP_001698.2,2.141904096,0,2.422463729,0,0
NP_001728.1,4.40480609,4.571975004,4.183276065,4.569219531,4.569219531
NP_001736.1,1.243133571,3.578436452,0.896394917,3.253489815,3.253489815
NP_001739.2,6.103054153,5.131408838,5.91075021,5.140577208,5.140577208
NP_001741.4,8.224522101,8.364269561,8.119044939,8.393657247,8.393657247
NP_001744.2,1.846737069,0,1.537940946,0,0
NP_001746.1,1.16084566,0.330508938,0.837501228,0.889727107,0.889727107
NP_001748.1,7.248170129,7.644247635,7.163181457,7.547162887,7.547162887
NP_001753.1,8.637442194,8.559270918,8.742386688,8.568245541,8.568245541
NP_001766.2,6.639043732,4.750270411,6.9642057,4.780867046,4.780867046
NP_001771.1,4.719432745,4.775484729,5.132121977,5.02254305,5.02254305
NP_001781.2,2.341879051,0,2.007426229,0,0
NP_001790.1,3.878551881,1.528884478,4.000731577,2.249065121,2.249065121
NP_001801.1,5.129337161,5.140049578,5.384395688,5.086216194,5.086216194
NP_001803.2,3.564469062,5.532216766,3.461992094,5.540137575,5.540137575
NP_001804.2,2.535733937,-1.62922719,2.110519723,-1.360729233,-1.360729233
NP_001805.3,4.734789159,1.54803232,4.466857848,1.081108326,1.081108326
NP_001813.1,1.26372284,0.692700903,0.952978446,0.83566798,0.83566798
NP_001814.2,4.786014483,3.620440815,4.732318991,3.484342585,3.484342585
NP_001824.1,6.78417054,6.385126054,6.584575276,7.045227683,7.045227683
NP_001825.1,6.362990783,6.328540478,6.342651147,7.052898696,7.052898696
NP_001830.1,6.238032918,6.362424665,5.923194977,6.42983648,6.42983648
NP_001837.2,2.935575434,0,3.39209008,0,0
NP_001839.2,4.231234988,2.343212528,4.69133058,2.590361167,2.590361167
NP_001853.2,6.613847827,6.874780845,6.488552919,7.081557715,7.081557715
NP_001854.1,5.478533533,5.769692966,5.601266881,6.19985836,6.19985836
NP_001857.1,3.075243792,3.37283941,2.519325268,3.413618583,3.413618583
NP_001858.1,4.973790264,5.086278322,4.983857758,5.33785969,5.33785969
NP_001885.1,3.299061802,3.00346792,3.783920188,2.930825213,2.930825213
NP_001887.1,5.031103152,4.749793408,4.924964069,4.888463248,4.888463248
NP_001892.1,2.598443962,4.392122128,2.296932847,4.035019096,4.035019096
NP_001893.2,0,2.386405243,0,2.480573021,2.480573021
NP_001894.2,6.25896931,6.414715639,6.160931348,6.406793153,6.406793153
NP_001895.1,3.817690189,1.342369093,2.822394336,0.887198281,0.887198281
NP_001907.2,5.371654623,5.067134234,5.361063184,4.859245939,4.859245939
NP_001909.3,2.859354059,5.02412739,3.627578159,4.922359121,4.922359121
NP_001910.2,5.502243619,6.617175665,5.168418106,6.582957719,6.582957719
NP_001914.3,8.749169224,8.974756372,8.69651827,8.997225908,8.997225908
NP_001921.1,4.860561437,4.613116589,3.678803482,4.938784085,4.938784085
NP_001922.2,7.089885316,7.660305277,6.780992838,7.683004411,7.683004411
NP_001924.2,6.991202408,6.999393923,6.9053837,6.683437171,6.683437171
NP_001929.1,4.652698756,5.44149693,4.764291381,5.738881579,5.738881579
NP_001931.2,2.340495171,3.287337104,2.994005714,3.346169637,3.346169637
NP_001939.1,0.534524129,0,1.252538727,0,0
NP_001941.2,0.185720328,2.556057446,0,2.721064859,2.721064859
NP_001949.1,5.181282154,6.864279424,5.457109872,6.597098328,6.597098328
NP_001952.1,10.70281344,10.54955185,11.27191227,10.55599931,10.55599931
NP_001957.2,3.521148858,0,3.085428741,0,0
NP_001958.2,4.714633533,3.653117389,4.153405535,3.802836588,3.802836588
NP_001960.2,6.927244934,6.820053994,6.697553574,6.891226503,6.891226503
NP_001966.1,7.945537398,7.799920379,7.406090759,7.958698279,7.958698279
NP_001970.2,0.922685923,1.789940557,1.110519722,1.888463248,1.888463248
NP_001972.1,5.493086576,5.288979579,5.666166656,5.237323267,5.237323267
NP_001976.1,7.653778631,7.823495783,7.757854083,7.645222739,7.645222739
NP_001988.1,5.827849183,4.108400038,5.481357418,4.690932887,4.690932887
NP_001990.2,3.00535358,0.47910543,3.881895347,0.787662607,0.787662607
NP_002005.1,9.007903006,9.107360928,9.10331159,9.189015333,9.189015333
NP_002015.1,6.172267401,6.910536351,6.431203578,6.740108287,6.740108287
NP_002018.1,3.615136012,-0.252753273,2.791697538,0.054308267,0.054308267
NP_002019.1,3.453627409,0.491331732,3.147356491,0.422378144,0.422378144
NP_002023.2,3.458100886,1.623568422,3.07271769,1.898543254,1.898543254
NP_002026.1,5.533161882,5.919506358,5.605685553,5.645830613,5.645830613
NP_002038.2,8.021716719,8.312870274,7.962053388,8.248095407,8.248095407
NP_002052.1,5.034530491,5.865344021,4.711970346,5.936263427,5.936263427
NP_002058.2,4.838427436,4.132019038,5.337347115,4.192580067,4.192580067
NP_002061.1,6.955431045,5.919223573,6.944282247,5.967721308,5.967721308
NP_002063.2,4.503944455,4.108400038,4.687166955,4.072786662,4.072786662
NP_002067.1,5.861164746,5.732032506,6.067922023,5.676451625,5.676451625
NP_002068.1,1.351529221,3.236491893,1.980459182,3.119859037,3.119859037
NP_002070.1,6.143095258,6.112239795,6.002408155,5.994107835,5.994107835
NP_002071.2,8.352730967,8.452299001,8.39496493,8.384524909,8.384524909
NP_002072.2,2.935575434,5.490475449,3.340001568,5.435202183,5.435202183
NP_002073.2,0.40281845,2.683406011,1.110519722,2.637014793,2.637014793
NP_002077.1,6.401159989,5.746928075,5.97021515,5.877118066,5.877118066
NP_002083.3,5.367244265,6.324435321,5.053438627,6.247402356,6.247402356
NP_002084.2,3.618565558,3.140777415,3.661929663,3.381636349,3.381636349
NP_002085.2,7.449902256,7.846450469,7.197982563,7.884882892,7.884882892
NP_002092.1,2.130738905,0,2.340001569,0,0
NP_002094.2,5.850630986,7.099847806,5.907174756,6.913726577,6.913726577
NP_002096.1,9.407988887,9.765156834,9.987036669,9.621688052,9.621688052
NP_002097.1,6.672357701,6.97140184,6.3792432,7.063192036,7.063192036
NP_002098.1,6.337723422,5.839873147,5.889163348,5.655986214,5.655986214
NP_002101.2,3.818684466,0,3.020723052,0,0
NP_002102.4,5.774018542,4.667836305,5.689250269,4.637014793,4.637014793
NP_002106.2,3.813706216,0.469867223,3.966784245,0.657192676,0.657192676
NP_002108.4,3.999227478,5.375315432,4.687166955,5.049934108,5.049934108
NP_002115.2,3.606526308,0,4.159429323,0,0
NP_002120.1,8.978997097,8.636387854,8.812871562,8.520435724,8.520435724
NP_002124.1,2.808210229,3.40631601,3.371479799,3.230232009,3.230232009
NP_002129.2,8.983104733,8.662978334,9.303407691,8.627197935,8.627197935
NP_002130.2,8.985071144,9.179102355,8.818592766,9.025681173,9.025681173
NP_002140.2,5.620134713,5.48379806,5.914316825,6.205134464,6.205134464
NP_002145.3,9.29208753,9.542144742,9.214711759,9.552072801,9.552072801
NP_002147.2,10.79222836,11.06128946,10.54270161,10.94003085,10.94003085
NP_002148.1,9.693904486,10.06640817,9.208370232,10.1371226,10.1371226
NP_002159.2,7.552341438,6.349102804,7.144322431,6.267655548,6.267655548
NP_002171.2,1.679490264,4.848735258,1.537940946,4.757519734,4.757519734
NP_002196.4,5.08229855,2.766238159,4.674603494,3.051487747,3.051487747
NP_002200.2,6.981080131,5.753763621,7.090954803,5.494450714,5.494450714
NP_002201.1,5.679900684,6.35428944,5.500466241,6.310634914,6.310634914
NP_002217.3,3.139518819,2.984131435,3.461992094,3.308392046,3.308392046
NP_002219.1,3.000104229,2.135918216,3.452211072,2.403921238,2.403921238
NP_002222.1,0,0.58843042,0,1.122549128,1.122549128
NP_002254.2,6.141705474,4.657870919,6.301025601,4.660528388,4.660528388
NP_002256.2,8.147924263,8.251606026,8.309176443,8.324720406,8.324720406
NP_002257.1,5.896203007,4.592869759,6.015751094,4.338091169,4.338091169
NP_002258.2,6.209131134,6.205113379,6.333356255,6.080485863,6.080485863
NP_002259.1,3.88283641,4.919435667,2.966784245,4.911511738,4.911511738
NP_002261.3,7.117770998,6.73114675,7.056669748,6.750015057,6.750015057
NP_002262.3,7.464864588,7.336186445,7.379888268,7.551536397,7.551536397
NP_002283.3,4.886634227,5.927753373,4.77217498,5.872171314,5.872171314
NP_002284.3,2.947442022,0,2.994005714,0,0
NP_002296.1,7.791278989,6.720231585,7.475937142,6.869131028,6.869131028
NP_002303.2,2.535733937,4.251395433,2.537940946,4.130856673,4.130856673
NP_002305.1,1.392171206,2.300424841,0,2.377137764,2.377137764
NP_002310.2,-0.137749931,0,0,0,0
NP_002328.1,6.362735175,5.324542096,6.012426911,5.710554346,5.710554346
NP_002346.1,5.345505434,5.483606822,5.069522351,5.358887754,5.358887754
NP_002347.5,4.808960916,3.585582058,4.27490654,4.220722449,4.220722449
NP_002349.1,4.933970529,5.515758399,4.381821744,5.492684297,5.492684297
NP_002355.2,2.579798209,2.125170015,2.91075021,1.810530979,1.810530979
NP_002361.1,6.968032557,7.018924212,6.676705016,6.898817893,6.898817893
NP_002363.2,3.989106348,5.028591097,4.285961729,4.967945694,4.967945694
NP_002373.3,3.614563628,2.683406011,2.711970346,3.381636349,3.381636349
NP_002379.3,8.95232002,8.350257002,8.882350672,8.222275159,8.222275159
NP_002386.1,3.516254214,0.729292956,2.980459182,0.660158134,0.660158134
NP_002387.1,6.326932312,6.422717573,6.159429323,6.466136994,6.466136994
NP_002397.2,3.250520659,4.068664944,2.881895347,3.902618224,3.902618224
NP_002399.1,2.216222417,0,1.776100684,0,0
NP_002403.2,4.304395246,3.895485239,3.728272158,4.048944557,4.048944557
NP_002405.1,3.342570494,3.754239313,4.224082281,4.193859619,4.193859619
NP_002406.1,6.073578824,7.663284415,6.177351231,7.197276853,7.197276853
NP_002408.3,10.08117262,10.38872727,10.14640903,10.34754639,10.34754639
NP_002423.1,6.513877387,5.537753533,6.403555266,5.425213587,5.425213587
NP_002425.2,4.080227199,4.645102869,2.939039254,4.638331207,4.638331207
NP_002426.1,4.621986971,5.453654269,4.748393754,5.126574882,5.126574882
NP_002427.1,5.269915456,4.583620542,5.235532302,4.558730036,4.558730036
NP_002430.3,4.330770661,3.96288691,4.587929082,3.763047307,3.763047307
NP_002442.2,5.375882676,4.589852496,5.12598284,4.579241699,4.579241699
NP_002446.3,4.54687682,4.712908657,4.732318991,4.676176992,4.676176992
NP_002457.1,-1.730448079,0,0,0,0
NP_002466.1,3.141109442,0,3.442363286,0,0
NP_002475.2,5.115446596,4.627901103,5.174379665,4.417347897,4.417347897
NP_002476.2,5.644310971,5.856140546,5.824291371,5.815028214,5.815028214
NP_002477.1,5.800681798,5.643734251,5.587929082,5.746400642,5.746400642
NP_002479.1,6.084263581,5.587807822,6.027325787,5.665425305,5.665425305
NP_002480.1,4.253464935,4.610141418,3.59238873,4.491436111,4.491436111
NP_002483.1,3.518703612,4.206446605,3.263765983,4.129519978,4.129519978
NP_002484.1,5.054503319,5.105793093,5.053438627,4.920505352,4.920505352
NP_002486.1,3.243873984,5.263252961,3.263765983,5.095556726,5.095556726
NP_002487.1,4.897497591,4.786223865,4.814781152,5.235336255,5.235336255
NP_002494.2,3.333555787,2.791795318,3.461992094,2.844167908,2.844167908
NP_002496.1,0.26372284,0.831407174,0,0.830412255,0.830412255
NP_002504.2,3.786014483,4.611542263,3.618860942,4.492684297,4.492684297
NP_002507.1,2.598443962,2.484467191,2.627578159,2.525983481,2.525983481
NP_002511.1,10.5282889,10.52726183,11.03051316,10.57605285,10.57605285
NP_002516.2,6.252545494,5.57224481,5.968500718,5.461044749,5.461044749
NP_002523.2,5.663530477,5.534803235,5.844995765,5.448342162,5.448342162
NP_002537.3,2.133937787,4.106165803,2.939039254,3.854884656,3.854884656
NP_002544.1,1.815201496,2.836807162,1.500466241,2.656450357,2.656450357
NP_002547.1,6.418971265,6.40384214,6.102725565,6.483767317,6.483767317
NP_002558.1,7.797218094,7.561435689,7.499279326,7.520920094,7.520920094
NP_002559.2,8.721028941,8.376423108,8.431203578,8.288332297,8.288332297
NP_002563.1,5.617137571,5.495700373,5.49333006,5.968842893,5.968842893
NP_002564.1,4.139120889,4.191068896,3.903590419,4.372399104,4.372399104
NP_002573.1,4.274995373,5.216032654,4.153405535,5.083595494,5.083595494
NP_002577.2,0,0.922260605,0,0.973171504,0.973171504
NP_002583.1,8.537320271,8.418972192,8.351886538,8.4442622,8.4442622
NP_002586.2,3.242392778,2.943551248,2.537940946,2.865522384,2.865522384
NP_002589.2,3.269551919,2.418772165,3.64485615,2.310752863,2.310752863
NP_002592.1,3.188030489,-1.178242996,3.171401965,-0.453838637,-0.453838637
NP_002601.1,4.617137571,5.12566031,4.528663133,5.291279153,5.291279153
NP_002613.2,6.253281094,5.780552978,5.6808989,6.594581633,6.594581633
NP_002614.2,3.956955825,3.459791955,3.822394336,4.565270186,4.565270186
NP_002615.2,5.978580129,5.596765109,6.080675212,6.380513017,6.380513017
NP_002619.1,6.485202337,7.646875865,6.421210846,7.315286589,7.315286589
NP_002620.1,9.197950899,9.356771373,8.905831673,9.488949524,9.488949524
NP_002622.2,8.37719086,8.242522655,8.213988422,8.278943092,8.278943092
